Type,Title/Headline (if applicable),Body / Key Message (if applicable),Image or Video,External Link (if applicable)
Video: text embedded,How Your Bracelet Changes Lives!,,https://youtube.com/shorts/y4uJEqQS_js?si=t3QNKgrP5uXQEbGM,
Text over image,Women We Love: Dr. Jane Goodall,You have to decide what kind of difference you want to make.,https://drive.google.com/file/d/1ZAUfxaZqb61vblJ5vTdtOOgb9SC4avcu/view?usp=sharing\,
Video: with text embedded: a moment with our artisans,,,https://youtube.com/shorts/A4Regri5f_I,
Text over video,Women We Love: Anna Quindlen ,"I woke up one morning and thought, ""I am enough.""",https://youtube.com/shorts/Tt4f_eTdIF4,
Text over image,Women We Love: Maya Angelou,I am grateful to be a woman. I must have done something great in another life.,https://drive.google.com/file/d/1VHMGYSDY6JHh-5N2epWMtN3tEg2GnDN8/view?usp=sharing,
Text over video,Women We Love: Mindy Kaling,"If you don’t see a clear path for what you want, sometimes you have to make it yourself.",https://youtube.com/shorts/H2khsSYD-kM,
Text over video,Women We Love: Ruth Bader Ginsburg,"As women achieve power, the barriers will fall. ",https://youtube.com/shorts/xGHTlh8nbjI?feature=share,
Text over image,Women We Love: Michelle Obama,"There is no limit to what we, as women, can accomplish.",https://drive.google.com/file/d/1dAqgjY6TI6uuoqf1APDeaefVgLmoAlEw/view?usp=sharing,
Text over image,Women We Love: Malala Yousafzai,"I think realizing that you’re not alone, that you are standing with millions of your sisters around the world is vital.",https://drive.google.com/file/d/1gI9lz8wWEJ73nxHqeSjb9Pi8hZ6xuLl_/view?usp=sharing,
Text over video,Women We Love: Coco Chanel,A girl should be two things: Who and what she wants.,https://drive.google.com/file/d/19gZ7WiYNlxiCBb8239hmDdApXrri0ecV/view?usp=sharing,
Text over video,Women We Love: Dolly Parton,"As long as you live, there’s something new every day.",https://drive.google.com/file/d/1UMRUFvKQP8KhNEJgzlPW386dvycrKKGH/view?usp=sharing,
Text over video,Women We Love: Serena Williams,Every woman’s success should be an inspiration to another. We’re strongest when we cheer each other on.,https://drive.google.com/file/d/1XQXh1np04Bp3XDQRDK-m5L31KBdQSGmh/view?usp=sharing,
Image + Link to an external video,Best Foot Beacon: Mark Bustos,Click to Meet a Beacon of Hope,https://drive.google.com/file/d/11ZPeAJ2_xoE5nzknt3gxFSELMdcQADrH/view?usp=sharing,https://youtu.be/64oq7grVNVs?si=dlwVBuvxkMTNkJGo
Text over video,Women We Love: Reese Witherspoon,...Step up. Don’t wait for somebody to ask you.,https://youtube.com/shorts/PpNAqMOuUXM,
Text over image,Women We Love: Viola Davis,Womanhood is you.,https://drive.google.com/file/d/1xdHqxINxBctyS1FWub1YKhBqqsXgtz0W/view?usp=sharing,
Text over image,Women We Love: Stephanie Bennett-Henry,"Life is tough, my darling, but so are you.",https://drive.google.com/file/d/12DXxAd_XcqFVav0vLwLXA3BXIwWEWFD6/view?usp=sharing,
Text over video,Women We Love: Emma Watson,Girls should never be afraid to be smart.,https://youtube.com/shorts/Mx8osoNI8_Q,
Text over image,Women We Love: Margaret Fuller,"If you have knowledge, let others light their candles in it.",https://drive.google.com/file/d/1rVcC3fQgJ9dkUiYsDs6OpBCS5ENS8RK4/view?usp=sharing,
Text over image,Women We Love: Helen Keller,Alone we can do so little; together we can do so much.,https://drive.google.com/file/d/1XmRxg4BmyPC01ER1Rzn50Gd6C2ttsyUB/view?usp=sharing,
Text over video,Women We Love: Diane Mariechild,"Within her is the power to create, nurture and transform.",https://youtube.com/shorts/d_q8p3w3vg0,
Text over image,Women We Love: Judy Garland,"Be a first-rate version of yourself, not a second-rate version of someone else.",https://drive.google.com/file/d/1ZLep_9H-lPQJLOaVfi65ak-iYesSEPWG/view?usp=sharing,
Text over image,Women We Love: Melinda Gates,A woman with a voice is by definition a strong woman.,https://drive.google.com/file/d/1G0vW_fTG6hpkisFCjbKPaK7oHSOHW9z2/view?usp=sharing,
Text over video,Women We Love: Calamity Jane,"If a girl wants to be a legend, she should go ahead and be one.",https://drive.google.com/file/d/1VOpxFTQO50W2pXlyQ5sxg7YcW8_QrQI_/view?usp=sharing,
Text over video,Women We Love: Shirley Chisholm,"If they don’t give you a seat at the table, bring a folding chair.",https://youtube.com/shorts/7e5CuOlUfS0,
Text over image,Women We Love: Audrey Hepburn,I believe in being strong when everything seems to be going wrong.,https://drive.google.com/file/d/1uCPfsJk037DIe3DqiSGNavnjcQLy4r2c/view?usp=sharing,
Text over image,Women We Love: Sheila Murray Bethel,"Know who you are, what you believe in and where you want to go.",https://drive.google.com/file/d/1nwWHNIQTccL26K_Vj0Vy8HrYMxeszKpa/view?usp=sharing,
Text over image,Women We Love: Rosalynn Carter,"You have to have confidence in your ability, and then be tough enough to follow through.",https://drive.google.com/file/d/1Vj-CukjrjEcDOU1Pyh4f1qoew7xaKihu/view?usp=sharing,
Text over image,Women We Love: Pink,"Once you figure out what respect tastes like, it tastes better than attention.",https://drive.google.com/file/d/1cIHYUDOXWYcEYqsJmIa5cMGOAurt4No-/view?usp=sharing,
Text over video,Women We Love: Carly Simon,A really strong woman accepts the war she went through and is ennobled by her scars.,https://youtube.com/shorts/3b0XigIdd0k,
Text over image,Women We Love: Margaret Mead,"Never doubt that a small group of thoughtful, committed citizens can change the world. Indeed, it is the only thing that ever has.",https://drive.google.com/file/d/1UOB4i-3ey7MWPh7R-FYE6QHVGB6iXdcm/view?usp=sharing,
Text over image,Women We Love: Nora Ephron,"Above all, be the heroine of your life, not the victim.",https://drive.google.com/file/d/1nG1ImTDEkYepgFsF7qC79LrY6L-zTAPF/view?usp=sharing,
Text over image,Women We Love: Simone Biles,"It’s OK to say, ""Yes, I am good at this!"" ",https://drive.google.com/file/d/10ovByA0agHvC8Ot4rSkoNDB4JMCX85Sk/view?usp=sharing,
Text over image,Women We Love: Amy Tenney,The world needs strong women.,https://drive.google.com/file/d/13v8dpK5GMggOdmXxt1yNugwXWeuCOJZ3/view?usp=sharing,
Text over image,Women We Love: Malala Yousafzai,We cannot all succeed when half of us are held back.,https://drive.google.com/file/d/15d3nle9tLEk6DgK2eP_KrZz77cRkBRTP/view?usp=sharing,
Text over image,Women We Love: Louisa May Alcott,The humblest tasks get beautified if loving hands do them.,https://drive.google.com/file/d/1zcMyISuqYGi7Vu6IvoOuyhhQSd4bWfK6/view?usp=sharing,
Text over image,Women We Love: Rosa Parks,"I have learned over the years that when one’s mind is made up, this diminishes fear; knowing what must be done does away with fear.",https://drive.google.com/file/d/1HVBI1mpo9Yfcn4R08xExkR4qpNSoRpjf/view?usp=sharing,
Text over image,Women We Love: Maya Angelou,"Each time a woman stands up for herself, she stands up for all women.",https://drive.google.com/file/d/1Oboo8Dj5r7yKvQkV-aC1uXt49rYmMLEG/view?usp=sharing,
Text over image,Women We Love: Audrey Hepburn,"Nothing is impossible. The word itself says, ‘I’m possible!",https://drive.google.com/file/d/1SU-5NNRtOvtZAXRHz74rTjhQuPrDNxpB/view?usp=sharing,
Text over image,Women We Love: Serena Williams,A champion is defined not by wins but by how they recover when they fall.,https://drive.google.com/file/d/1flqjYNffHeSzV2Q6r4Z9K0PcKwIFjBqd/view?usp=sharing,
Text over image,Women We Love: Malala Yousafzai,"When the whole world is silent, even one voice becomes powerful.",https://drive.google.com/file/d/1l_4R-Ve2iVORuK8SsFLdPSCGppn9Ixd8/view?usp=sharing,
Text over video,Women We Love: Oprah Winfrey,Turn your wounds into wisdom.,https://youtube.com/shorts/ltxS5mHNBVo,
Text over image,Best Foot Beacon: Arthur Ashe,Start where you are. Use what you have. Do what you can.,https://drive.google.com/file/d/1ZDDISUs62kd3yzsOHmzDpE8jTJqpAF5o/view?usp=sharing,
Text over image,Best Foot Beacon: Vincent van Gogh,Great things are done by a series of small things brought together.,https://drive.google.com/file/d/1IoyG_9Zjjs2oCcFeOEBRbY7PavZqVahR/view?usp=sharing,
Text over image,Women We Love: Susan B. Anthony,"...Women, their rights, and nothing less.",https://drive.google.com/file/d/1hAGXejkdQKY5uLMmHnMpp74bKnT_BrC0/view?usp=sharing,
Text over image,Women We Love: Marie Curie,"We must have perseverance and, above all, confidence in ourselves. ",https://drive.google.com/file/d/1w-nP6Hpp5_5MbmwLADyumiDykUU00c3D/view?usp=sharing,
Text over image,Women We Love: Amelia Earhart,"The most effective way to do it, is to do it.
",https://drive.google.com/file/d/1msO4SzEmZiPf2DL-wvL9-1LiZeMHjuEc/view?usp=sharing,
"Video: with text embedded: Nevertheless, she persisted.",,,https://drive.google.com/file/d/1dKT4LfaO1oce4CDDYZ00QeWmI9kuFoYF/view?usp=sharing,
Text over video,Best Foot Beacon: Thomas Edison,"I have not failed. I've just found 10,000 ways that won't work.",https://youtube.com/shorts/RbXTx0ePd0Y,
Text over video,Women We Love: Maggie Kuhn,Stand before the people you fear and speak your mind – even if your voice shakes.,https://youtube.com/shorts/z2XLPAPUa0k,
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,One invite can change a life,https://drive.google.com/file/d/1C0l7jtn3V21uC0uhefG6Llh_y0F3Ar72/view?usp=sharing,https://www.footforwardfund.org/charmed-life-updates.html#an-invitation-that-lit-a-path
Text over video + Link to an external URL,Life|Charmed: Quick Read,An Unexpected Hero in London,https://youtube.com/shorts/JjjRJzZzEcU,https://www.footforwardfund.org/charmed-life-updates.html#a-mother-a-subway-a-stranger
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Kindness Uplifts Mother & Child,https://drive.google.com/file/d/1LN6_yi5wBBoeHKVSnYZY2LJh_HEKN3Kw/view?usp=sharing,https://www.footforwardfund.org/charmed-life-updates.html#words-that-lifted-a-mom
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A Breakdown Repaired by Kindness,https://drive.google.com/file/d/1HSnc3qBCc2Vn2H1vLZ9DgPTmvLivYmT-/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story01
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Painted Tomorrow,https://drive.google.com/file/d/1ujMGS5gDt4M5t0Xsx5qnHLrFW-dCCDVd/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story02
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Women Who Planted the Sea,https://drive.google.com/file/d/1vKNm0dPy3QKWMQPGg317kyAkNAGeZSID/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story03
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Teacher Who Never Quit,https://drive.google.com/file/d/1C4waJnpyWI0aJJttK_-33rSDUAdt0kIB/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story04
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Letters That Found Their Way Home,https://drive.google.com/file/d/1G0GvKSXxbZCjN9eD6R6L97LU1LMlRJwR/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story05
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Seeds of Shade and Hope,https://drive.google.com/file/d/1ser_C74DvbwHKtmTznWNqPe-BEVcGEsA/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story06
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Threads Stronger Than Iron,https://drive.google.com/file/d/1TV_Ld6dA3GDQ8eJJ6X_RLMpdgTU_1Vql/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story07
Text over video + Link to an external video,Life|Charmed: Quick Read,Stars That Blinked Back,https://youtube.com/shorts/nzgZI3ZxcEI,https://footforwardfund.org/charmed-life-updates.html#story08
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,When Kindness Is Deliberate — and Delicious,https://drive.google.com/file/d/10v1FgcK0ycxM7Mo_U5OJcqQW2NK93V0c/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story09
Text over video + Link to an external URL,Life|Charmed: Quick Read,The Beekeeper’s Quiet Revolution,https://youtube.com/shorts/pS8uORn7ZMM?feature=share,https://footforwardfund.org/charmed-life-updates.html#story10
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Girls Grow Reading…By Hand,https://drive.google.com/file/d/1CTattHhKAJSrKg9MUc1rk1jjIfMlTWOu/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story11
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Garden That Fed Hope,https://drive.google.com/file/d/1QZnteeuQ4iBepWefOKAexXRCQ4SGZduu/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story12
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Raised Her Hand,https://drive.google.com/file/d/1UHKuxmIndeZnd7panLXFiQc3jLX1kRI_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story13
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Runner With No Finish Line,https://drive.google.com/file/d/1Ol2KmCMbMVgQyffSwmEuk19u2j-nct3_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story14
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Rain Dancers of Dar es Salaam,https://drive.google.com/file/d/14NvfcDBk0D-Qm2xaq52h6CS0FnTBbA1z/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story15
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge That Mothers Built,https://drive.google.com/file/d/1_5pq6mNiEDz4VJVt4hB9DqdO0XoppxzK/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story16
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Paper Hearts and Everyday Heroes,https://drive.google.com/file/d/1GnJL9M9OM6YS-x1DB1pIxVgSv2Y0hci0/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story17
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Scientist Who Listened to Bees,https://drive.google.com/file/d/1M8CIUwTsdiRIGxJMTqhYRF4yPm0fvNTw/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story18
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Tea Notes Through the Window,https://drive.google.com/file/d/1OpMbZlHneBi_DM9D9HW4UogghguK9xNC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story19
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Grew a Forest,https://drive.google.com/file/d/13k_5HLoh8Pf2mZZqjptazKHoilJ1Gle_/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story20
Text over video + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Learned to Fly Again,https://youtube.com/shorts/umseG3U2YkE,https://footforwardfund.org/charmed-life-updates.html#story21
Text over video + Link to an external URL,Life|Charmed: Quick Read,A Dress Woven From Dreams,https://youtube.com/shorts/il3gngUgsGk,https://footforwardfund.org/charmed-life-updates.html#story22
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Hands That Built a Playground,https://drive.google.com/file/d/1gB_6tfMa2f3-R1fR_Hum3QEnSGOMZxC1/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story23
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Voices That Rebuilt the School,https://drive.google.com/file/d/1QKxqTUJEjC4CO_H0cppVKTK0N_j6R3CT/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story25
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Woman Who Lit the Night,https://drive.google.com/file/d/1QQgeikKblXzdkaprYagDIgNW5oOvKlGr/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story26
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Water Carriers of Hope,https://drive.google.com/file/d/1DqMZ4UBWUIFNWXEZ_TZ5YCQQMhrCcBeW/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story28
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Librarian Who Walked Miles,https://drive.google.com/file/d/1Km5VGg3pwa8bW4nUKu6bcQbXIJUsXrR-/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story29
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bench That Started a Movement,https://drive.google.com/file/d/188jmjUNm5Tse8OJWQ079u2aXhSJY26zH/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story30
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bread Baker of Kigali,https://drive.google.com/file/d/15hcv7WLUEpPuiJu74mRwIBa9XyQOy-t6/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story31
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Strings Across the Square,https://drive.google.com/file/d/1qUFYXVJiYp8rtpf589S-d9HvwcmcRJyy/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story32
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Farmer Who Wrote Poems,https://drive.google.com/file/d/17D8fpuuN-1gbd-n_z13rN3Hq5SUK0tKl/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story33
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Joy Delivered by Bicycle,https://drive.google.com/file/d/1S-oC7IssYOooB_QwA8QYvKo-nT2rBxd4/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story34
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Garden of Second Chances,https://drive.google.com/file/d/1u8N-qRr9-LO0Hx93Ms-RYt8_CtnYuRcp/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story35
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge of Books,https://drive.google.com/file/d/1YRaBpwygC0tc2eR8Dz7zta5vWaEiwxtQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story36
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Tailor’s Quiet Revolution,https://drive.google.com/file/d/1JMeu4GsuZ35yiJWuSJSkBixEf9Kla8OQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story37
Text over video + Link to an external URL,Life|Charmed: Quick Read,Music Beneath the Mango Tree,https://youtube.com/shorts/4tK1QTNiAz0,https://footforwardfund.org/charmed-life-updates.html#story38
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Saved a River,https://drive.google.com/file/d/1FkNlVitEtz7kto1SvNPlxl_D7efyvQsv/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story39
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Letters to Tomorrow,https://drive.google.com/file/d/1CwJX_Uso_4jKXbktkJ5jsFuVyxcdqseS/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story40
