Type,Title/Headline (if applicable),Body / Key Message (if applicable),Image or Video,External Link (if applicable)
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Photographer Who Shared Her Lens,https://drive.google.com/file/d/1QPtyAUcK71Evu-06ZKZEvsuEfmIwMAIQ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story41
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Nurse Who Brought Music to the Ward,https://drive.google.com/file/d/1tGvmqsJeuT0N-EMoJvZf4nEySKIZmKBB/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story42
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Fisherwomen Who Turned the Tide,https://drive.google.com/file/d/1e900uwpP31jHU9Gzbk4vUxGUKHFvKlJ3/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story43
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Chalk Lines of Peace,https://drive.google.com/file/d/1IJv7tpNG3HHvzI0O9pzZQSo0BLfBaQOL/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story44
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Marathon of Many Mothers,https://drive.google.com/file/d/1w-oO2D7QDcOokjL1-Zsh4hm0VVVQ25bC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story45
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Tailor of Second Chances,https://drive.google.com/file/d/1dsBE5RsyXGK5MPKpCn1Fk4gHv2ze2saF/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story46
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Cart That Carried Joy,https://drive.google.com/file/d/18zrIScCNqmTruVEEEo3ubRDzg1ChpRNC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story47
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge School of Light,https://drive.google.com/file/d/1h46VlbgbwDZhLFZKGgihZSNi-GJo4pY9/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story48
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Threads of Reunion,https://drive.google.com/file/d/1Y2YX04BkOqCgcQw6O5KOuXNKCYfLtdYs/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story49
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Choir Beneath the Bridge,https://drive.google.com/file/d/1UIb_qAEIdYZ1oJ-RpuAlUWSbfVO9a49q/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story50
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Repaired the Radio,https://drive.google.com/file/d/1AzlnsZd4n21z2Q9aYd_xjWmVhGf4jQnC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story51
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Lighthouse Keeper’s Daughter,https://drive.google.com/file/d/1i_Axd5CEc0hWhyDdtPyheu7MxxwSxZ_d/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story52
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Garden Beside the Tracks,https://drive.google.com/file/d/1iXAzUqBYywPay7HsXdtRpdGl_G3o9pT3/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story53
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Runner Who Carried Water,https://drive.google.com/file/d/109abJ875qBVh5JYRz8KIyDZ7J4I5o3_j/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story54
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Lanterns Over Lake Victoria,https://drive.google.com/file/d/1PCkmNCtf4UcZ7_84qROLsoTP0TZf4VWm/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story55
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Chalkboard Beneath the Tree,https://drive.google.com/file/d/1NHKcpfuu-jyS-3KuuTHDsLkwqwgZxE28/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story56
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Road for Change,https://drive.google.com/file/d/18w6Au4LMPgzeqKCq8qjvamfzk8QqPBiC/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story57
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Seeds She Left Behind,https://drive.google.com/file/d/1B490e_lr1PNaEVlY1DnAf_eJqrzbfpG-/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story58
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Painted Crosswalks,https://drive.google.com/file/d/1yh0VMCLq6yaOa__VDaY24Z9cUIBV1ABr/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story59
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Stitching the Sky,https://drive.google.com/file/d/1D8_oRrKI8uC9qF_jco0QPHiGCfEpUZRN/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story60
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Dancer Who Couldn’t Hear the Music,https://drive.google.com/file/d/1Q9OODZU-jCiZayyZXRQYoC5-nc9j0r0v/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story61
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Market of Good Deeds,https://drive.google.com/file/d/158C-d0rGNLWyFJO7ncsNn_2TemwRYtoN/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story62
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Taught a City to Read,https://drive.google.com/file/d/1Xyxy6ucg7PtTeqxWhA62tjw7NaQra5B8/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story63
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Poetic Midwife,https://drive.google.com/file/d/15AJ4wyNEAtg5HzYN6hMrmdtgqyYTQBLs/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story64
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Rain Collector,https://drive.google.com/file/d/1tdxuD2aU8I04LzawDGoCn9uDrWo9v4Qm/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story65
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,She Counted Raindrops,https://drive.google.com/file/d/185_7azLXgyqFWBr2UXjlsMLH0L87H-aP/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story66
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A Song Between Two Shores,https://drive.google.com/file/d/1Z3jMrl7pQE3_s2ju4ve0gs8oTDKrDAPU/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story67
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The River School,https://drive.google.com/file/d/14Ra4przjSVDTHpkBc4eBGc8-6TqkHNV4/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story68
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Woman Who Drew Water,https://drive.google.com/file/d/1Uy2NULxyciSemNrauaAPas57_zqgzv6r/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story69
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl With the Green Paint,https://drive.google.com/file/d/1FRdeRkf_3WTSyA9vq577LvxPJBMk0FWi/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story70
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Tailor Who Sewed Time,https://drive.google.com/file/d/1FvpNaYYEkoSjLLoTcGlfEcxapeglZ9oS/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story71
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Coffee Growers of Hope,https://drive.google.com/file/d/1JTFEDoTHGnGENV45Rpnbw9wDcJis_N0m/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story72
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Letters in the Sand,https://drive.google.com/file/d/11xdelxlyefKF6FGsfDI7ehvjCMpK-rAf/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story73
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A Shepherd Who Studied Stars,https://drive.google.com/file/d/12EqyFhcQPb4Mt8DnVQKcvEZVEzINMFDU/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story74
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Lantern Library,https://drive.google.com/file/d/11R82EpaNgEFNges9eK1Zb1vzhZjegreX/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story75
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl With the Paper Bridge,https://drive.google.com/file/d/1vzTgQiCP_JLsn6KCVUym1P3Hliy-ewRL/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story76
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bicycles of Lamu,https://drive.google.com/file/d/1d7glINGQCpBHhaOr0qN3teNPsPFROHR3/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story77
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Choir That Climbed the Mountain,https://drive.google.com/file/d/1ZnkvQu_eb4A8EYaLNDBsUx2r14yMrWBL/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story78
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Woman Who Rebuilt the Playground,https://drive.google.com/file/d/12bCeHkK5tGSQiKjZYZ9jSPIQdau6Of3E/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story79
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Poet on the Bus,https://drive.google.com/file/d/1gkHEhkfRE0fBtJNtzcB7v_fxbXfFXWKB/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story80
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Girl Who Mapped Her Village,https://drive.google.com/file/d/15kZe6EGeJeS9ka64Zez42cI4y555bKvq/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story81
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Potter of Peace,https://drive.google.com/file/d/1aazQMDz_0Ddre8-CTXqZ2XUcmRl2B_xH/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story82
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Women Who Fed the Mountain,https://drive.google.com/file/d/1jnIR6JMFrmR0YLu5ZakOA5yvxjwVEPw7/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story83
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Rooftop Gardeners,https://drive.google.com/file/d/11ZlHocYWVmSEvdSf9KGWMPdxsAkJ5rDw/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story84
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bridge Between Languages,https://drive.google.com/file/d/1SvIgyGGxiCYomzoa14380wajSAq1b-a0/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story85
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Where Care Finds a Way,https://drive.google.com/file/d/1hn2lmj28rxFvTX6R5YCLMNu6n4D27MfS/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story86
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Eighth Grader and the Swarm,https://drive.google.com/file/d/1B8KpUFKb1r2Z6ErbMxcYXunZIRj2xnm6/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story87
Text over video + Link to an external video,Life|Charmed: Quick Read,First Words of the Day,https://youtube.com/shorts/he1wbCEZwck,https://footforwardfund.org/charmed-life-updates.html#story88
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Bicycle Ambulance,https://drive.google.com/file/d/1u39O91nFoEDqOnFcaMU4sEz5k4GxSlAr/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story89
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Five-Minute Sit,https://drive.google.com/file/d/12MpEyNfdp8YC7OL6VjAKmAEWL9sUCgOo/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story90
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Reading Pays the Debt,https://drive.google.com/file/d/1hpkKx0R1xfouB4nVDT5JbLARmMVqPTHJ/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story91
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,"When you fall, plant your hands and rise stronger.",https://drive.google.com/file/d/1p1t4E89jEuyvie-uNTq2sqXhzp0mX_vs/view?usp=sharing,https://footforwardfund.org/charmed-life-updates.html#story105
Image: with text embedded: No One Is In Charge of Your Happiness,,,https://drive.google.com/file/d/1yjTXx4CbTqVPCL5WdagI_IwDao_MqRCb/view?usp=sharing,
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Fixing Table,Pending,https://footforwardfund.org/charmed-life-updates.html#story92
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Care on Two Wheels,Pending,https://footforwardfund.org/charmed-life-updates.html#story93
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Through the Flood to Birth,Pending,https://footforwardfund.org/charmed-life-updates.html#story94
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Water With Neighbors,Pending,https://footforwardfund.org/charmed-life-updates.html#story95
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Hope rebuilds faster than any storm.,Pending,https://footforwardfund.org/charmed-life-updates.html#story86
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Courage hums louder than fear.,Pending,https://footforwardfund.org/charmed-life-updates.html#story87
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A kind word can carry a whole bus.,Pending,https://footforwardfund.org/charmed-life-updates.html#story88
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Small wheels can move big miracles.,Pending,https://footforwardfund.org/charmed-life-updates.html#story89
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Listening heals more than medicine.,Pending,https://footforwardfund.org/charmed-life-updates.html#story90
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Turn the page—freedom is waiting.,Pending,https://footforwardfund.org/charmed-life-updates.html#story91
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Fixing things fixes hearts too.,Pending,https://footforwardfund.org/charmed-life-updates.html#story92
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Compassion rides wherever roads end.,Pending,https://footforwardfund.org/charmed-life-updates.html#story93
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Bravery delivers life through any flood.,Pending,https://footforwardfund.org/charmed-life-updates.html#story94
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,"When water is scarce, kindness flows.",Pending,https://footforwardfund.org/charmed-life-updates.html#story95
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Many hands make light of a long block.,Pending,https://footforwardfund.org/charmed-life-updates.html#story96
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A shared fridge keeps hope cold and neighbors warm.,Pending,https://footforwardfund.org/charmed-life-updates.html#story97
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,"Fix it together, feel it together.",Pending,https://footforwardfund.org/charmed-life-updates.html#story98
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,"Two wheels, one purpose: reach the unreachable.",Pending,https://footforwardfund.org/charmed-life-updates.html#story99
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Small waves of effort clean a whole shore.,Pending,https://footforwardfund.org/charmed-life-updates.html#story100
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,"When light goes out, invent another way to shine.",Pending,https://footforwardfund.org/charmed-life-updates.html#story101
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Grow where no one thinks you can.,Pending,https://footforwardfund.org/charmed-life-updates.html#story102
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The right teacher can build a lab from scraps.,Pending,https://footforwardfund.org/charmed-life-updates.html#story103
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,One runner’s finish line lifts a nation.,Pending,https://footforwardfund.org/charmed-life-updates.html#story104
,Best Foot Beacon: Dr. Seuss,Today you are you! That is truer than true! There is no one alive who is you-er than you!,Pending,
,Best Foot Beacon: Henry David Thoreau,Go confidently in the direction of your dreams. Live the life you’ve imagined.,Pending,
,Best Foot Beacon: Albert Einstein,The only sure way to avoid making mistakes is to have no new ideas.,Pending,
,Best Foot Beacon: Mark Twain,Worrying is like paying a debt you don't owe.,Pending,
,Women We Love: Mary Englebreit,"Know that you can start late, look different, be uncertain and still succeed. ",Pending,
,Best Foot Beacon: Walt Whitman,Keep your face always toward the sunshine - and shadows will fall behind you.,Pending,
,Women We Love: Georgia O’Keefe,"Interest is the most important thing in life: happiness is temporary, but interest is continuous.  ",Pending,
,Remember: ,Worrying does not empty tomorrow of its troubles: it empties today of its strength.,Pending,
,Remember: ,Spread More Love Today,Pending,
,Remember: ,Some people find fault like there’s a reward for it.,Pending,
,Remember: ,It’s not who you are that holds you back into you think you are not.,Pending,
,Remember: ,Friendship Needs No Reason.,Pending,
,Remember: ,Always Leave People Better Than You Found Them.,Pending,
,Remember: ,You have the power to say “This is not how the story ends.”,Pending,
,Best Foot Beacon: Aberjhani,Love yourself as if you are a rainbow with gold at both ends. ,Pending,
,Best Foot Beacon: John Lewis,Get in the way. Make good trouble.,Pending,
,Remember: ,Life is short. Take the trip. Buy the shoes. Eat the cake.,Pending,
,Remember: ,If you change nothing - nothing will change.,Pending,
,Remember: ,Failure is not the opposite of success: it’s part of success.,Pending,
,Best Foot Beacon: Mr. Rogers,Look for the helpers. ,Pending,
,Remember: ,Keep calm: they hate that.,Pending,
,Women We Love: Katrina Meyer,Time spent amongst trees is never wasted time. ,Pending,
,Remember: ,Today - Seek Wisdom,Pending,
,Women We Love: Glinda,"You had the power all along, my dear.",Pending,
,Remember: ,No one is more worthy of your kindness and compassion than you are.,Pending,
,Best Foot Beacon: Khalil Gibran,The smallest act of kindness is worth more than the greatest intention.,Pending,
,Women We Love: Audrey Hepburn,"For lovely eyes, seek out the good in people.",Pending,